input,target
loan insurance fee scams companies financial corporationinstant phone cash eloan inc  times per day per phone linenotes automatic recorded voice messagefunding location service rude request bank account informationrequest debt owednever sent funds     debt monthterm  monthsrequest bank account information  company phone numbers representative email addressdown payment loan  frontemployer confirmation direct contact number confirmation number contact number debt monthterm  months  representative direct lendingloan debt monthrefundable loan insurance  front  reported companies telephone numbers cfpb via unknown privatefri  eloan hello approved long term personal loan minimum  maimum  nt pay anything get loan need proper banking checkin business account need online banking facilityyou need provide copy identity proof passport size photos need refer loan approval papers carefully need provide us electronic signature nt work prepaid accountsif really need quick loan serious loan approval please contact eloan incunited states,Debt collection
received voice message person calling stating collection agency needed speak called back day stated outstanding balance trying contact aggressive call raised voice majority phone call refused send anything mail stating position tell job stated tried leave voicemails could inbo full completely untrue phone call upsetting shaking end idea debt speaking assumed completed payment son medical bills  able speak debtor found unpaid bill duplicate charge time choice work documentation wakefield associates stating supposedly owe also inclined call repeat type aggressive situation understanding collection agency must send documentation must intimidate feel wakefield associates specifically violation regulations believe recording conversation recorded message beginning call stated calls recorded,Debt collection
victim fraud needed contact transunion freeze credit went website asked social security number page https canceled site nt secure went back today url https refreshed times went back http looks like server insecure jokable since site report fraud insecure server get back onto secure one eample,Credit reporting
referred office office controller currency certificate deposit issued bank bank america fl sent fl dept financial svs bureau unclaimed property content deceased father safe deposit bo cd number customer name deceased bank america said would sent funds state state florida denies much correspondence want copies since requesting information state florida office since want know money paid cd belongs appreciate help thank,Bank account or service
dear director want contacting director bank americas posted informed us senators speaker filed complaints federal deposit insurance corporation finished knows better reporting us senators speaker included filed documents must forward us senators speaker immediate procession federal deposit insurance corporation requests help moving bank bank america stopping bank america uses overdraft fees bank america hated appearances bank america made made opposed issues interest bank america account seek authorization official helps moving bank america bank called immediate   please let know please official picks bringing new bank urgent serious matters formal filed requirement let us senators speaker knows requirement charges coping male attorney serious charging requests,Bank account or service
recently pulled credit report discovered company reported owe debt recall sending letter informing owed debt allowed rights request validation dispute afforded fdcpa,Debt collection
deposit check payable bank issued using bank america atm  bank america account checked account saturday reflected hold account morning  logged bank america account stating hold placed account notified mail meanwhile contractor coming house need make payment start repairs home check deposited repairs home called bank america told funds would available  understanding banks allowed hold funds long,Bank account or service
sued old debt acquired asset acquisitions group colorado debt collector nt properly notify debt according court records company already planning lawsuit debt collector acquired debt  year already filed papers sue according court records served papers debt judgement filed surprise judgement entered debt  swelled  company reached prior actions validating debt could reached agreement would nt  judgement credit report,Debt collection
received otherwise became aware collection notice sent portfolio recovery services responded letter requesting validation debt however send information return receipt request contacted portfolio recovery associates ombudsman via email requested validation debt also provided standards validation state teas pra ombudsman responded statement provided none validation information required teas statute responded statement epressed information provided meet standard validation state teas information provided credit reporting agencies teas attorney general action taken agencies filed several disputes interim still action remove account recently received answer validation request dated pretty close full year request teas requires collection agency respond information required debt validation list within days otherwise stated statute validation incomplete additionally validation meet time constraints validation teas attachment  shows original response portfolio recovery associates ombudsman attachment  shows response portfolio recovery associates incomplete required teas statute response incomplete response include information regarding surety bond portfolio words idea whether legally collect debts state teas also response include date last activity account important need know whether account still within statute limitations state debt collected,Debt collection
joint account hsbc primary holder passed away bank found numerous ways prevent holder getting money including canceling bank bank transfer name eactly net week mailed check somehow sent wrong made address name  month person passed away second person still money senior citizen paperwork mailed faed current names addresses numbers id poa bank suspicious shady financial dealings,Bank account or service
reporting open late payments account charge original creditor violates fdcpa  usc     f using deceptive reporting attempt collect debt negative influence creditors looking credit already file dispute major credit bureau companies,Debt collection
friday  bank branch manager pnc claims received phone call requesting fa bank statments last three months institution week later nusband noticed  charge account inquired told bank manager call recognized voice faed statements charged us photocopies issue never called bank requesting action neither us told asked come sign release information faed took phone records later date prove matter went police department anything husband advised leave bank information could anywhere compromised unlawful fa bank accounts without written permission release account holder written release husband since removed assests possible pnc bank nc opened new accounts another bank town feel treated poorly negligence part bank branch manager took bogus phone call faed information without knowledge need pnc admit wrongdoing return money charged photocopies,Bank account or service
pending issue first hawaiian bank regarding scam took place previous complaint filed goes detail given fraudulent check deposited  bank net day even though check nt cleared allowed withdraw half money first hawaiian banks policies state check cleared  would become available net day yet able withdraw stated amount ecerpt first hawaiian banks website policies depositing checks q mean receive hold account made deposit hold means although received check deposit wo nt able use funds hold period epired depending type check deposit funds may available third business day day deposit however first  check deposits available first business day date deposit deposited item returned unpaid hold epires funds made available deposited item returned hold epired charge account amount item holds placed help protect us losses could occur deposited item returned unpaid situations typically cause check held include reason believe funds may uncollectiblethe source check eg foreign checks account new account new account rules apply first  days account open account repeated overdrafts last  monthsyou deposit checks totaling  one dayfraud suspectedthe check previously deposited returned unpaidthe check properly endorsedas year old making way tough economy never much money bank account first hawaiian bank checks records find previous transaction account drafted several times time deposited fraudulent check  pay negligence first hawaiian bank protected policies stated clearly website everyone see hold put account never deposited check big account red flag,Bank account or service
home equity line credit capital one bank date draw period ended  wanted make changes date called requesting fied rate option transferred different people including refinancing want refinance wanted fied rate option told would sent paperwork nothing came called requesting fied rate option told percentage rate could told phone proposal would go maili specifically asked agent even though proposal would arrive deadline would still eligible since made request deadline said yes received letter dated saying qualify fied option draw period already ended called capital one tell fact request fied rate option deadline agent told kind time frame request deadline casei letter stating make change asked terms conditions listed transferred someone else says eligible calls recorded asked call pulled listened told eligible denying case,Mortgage
debt collection company calling employer reported company maybe month ago stopped clearly gave information another company since could longer call employer need stop permanently ca nt sorts calls coming work office employer phone number phone number means knowingly contacting work,Debt collection
items remove credit report coming file incorrect information credit file,Credit reporting
purchased home since roundpoint received account complete mess first year roundpoint tied account another persons paid escrow account resident county taes never paid county city taes find got outstanding bill county city called assured would happen account cleared net year round point failed pay taes either yet ended paying  years taes  year catch got foreclosure notice due failure pay taes pay every month house payments year emailed ta bill due ion go online check account paid taes paid someone else taes county totaling  escrow still nt paid city taes  point burnt  times company patient company handle account proper manner need mortgage moved underneath company repairing mess unprofessional behavior frustrated disappointed mention angry paid another persons taes escrow second time unbelievable second time making formal complaint company want move mortgage good action repair incompetence,Mortgage
tried secure mortgage loan southern fidelity mortgage found house liked proceeded loan approval process told credit nt good told collections told would either deny loan ask pay collections well later told loan approved needed pay collections well told would tough time raising payment money closing cost needed paid well told backed would lose earnest money loan approved original loan one came conditions,Mortgage
judgement filed us account idea credit card company longer esists us verify make many calls find pay finally referred mel harris associates hard deal husband reached make arragements pay recieved verbal agreement terms pay return taken credit report said would send letter agreeing recieve anything weeks got email later followed letter problem dates agreed pay incorrect agreement remove judgement stated emailed numberous times along calls response finally called spoke supervisor toold stick agreement needed pay day insisted getting letter first still recieved one money pay still recieving necessry response,Debt collection
company collecting debt insurance company continually charging policy canceled due required dealership take back vehicle sold salvaged tittle agency also second account insurance company sent collections notice debt  years collections agency also charging additional fees,Debt collection
unable afford house payment decided attempt foreclosure alternative short sale attorney office contacted lender verify could attempt modification short sale review  authorized party advised representative nationstar named foreclosure sale set  stated point need least days review short sale borrower could short sale attorney office sent home affordable alternative program hafa notice stating failed provide borrower writing options notice sent  yet responded borrower prepared list property short sale wants opportunity,Mortgage
filed requests loan modification us bank sit application follow rules pursuant doddfrank wall street reform consumer protection act doddfrank act public law   stat   rule thru  make determination within guidelines last application complete counselor told file complete point contact us bank made determination qualify receive documentation simply true told file complete underwriting sat file  days said lacking documentation never notified according rules documentation requested required,Mortgage
asked loan modification si years hired lawyers filed doddfrank modifications packages spent  legal fees interest rate mortgage  green tree mortgage services acquired note offerred another loan modification package done unfortunately chose bait switch approach green tree modify interest interest amount totals well  + plus principal  green tree offerred  pricipal chose modify interest amount house water worth mortgage amount town value  sold note green tree representatives broke house winterized house without consent also representatives told tenants living pay rent nearly  lost belief green tree want modify principal interest amount acquired judicial sale date met three month trail period ba duel tracking green tree refusal modify credit score suffered difficulty refinancing loan email address thank advance,Mortgage
letter formal complaint reporting inaccurate credit information distressed included information credit profile due damaging effects good credit standing doubt aware credit reporting laws ensure bureaus report accurate credit information doubt inclusion inaccurate information mistake either reporting creditor part mistakes credit report wrongfully denied credit recently mortgage highly embarrassing negatively impacted lifestyle proof attaching letter sure agree needs removed soon possible following information needs verified deleted credit report soon possible account # please delete information quickly possible attached proof see has changed account number number listed credit report trying verify address never lived failed verify account mine stated letter record application failed remove account reported identity fraud fraud reort attached evidence,Credit reporting
iam filing complaint eperian credit reporting agency ignored request provide documents company file used verify accounts section   fcra required prompty delete information verified disputed please resolve manner soon possible thank much,Credit reporting
found paying years bank america account something called called boa say party charge transferred says husband signed wo nt cancel called boa back told wanted stop charge going anymore refused apparently paying something unaware money goes account name account ca nt stop taking money,Bank account or service
 went online bank account bbva compass bank ca observed charges deducted account made immediately telephoned bank told first representative contact vendor charges appalled referred fraud department instead told charges left pending category moved posted would able dispute charges today  charges posted called bank referred disputes also told would take  business days return funds account would like file complaint feel etremely unfair consumer must follow rules regulations obviously favor banking institution bank gets float money find unacceptable use debit card charges immediately taken account get credit charges placed debit card bank gets float money decide return said funds must complain unfair consumer want make formal complaint,Bank account or service
eperian keeps wrong information report,Credit reporting
 breach securityresulted loss identity compromised personal information hs come light one opening accounts name accounts opened past  months written equifa credit reporting bureau numerous occasions requesting account disputed request full verification aa response icomplained ftc response,Credit reporting
 checking saving accounts closed notice chase bank suspension account noticed due restriction access account via chase mobile app upon calling chases customer service informed chase right end business relationship anytime informed account closed instructed wait eplanation via mail unsatisfied option proceeded serviced better customer service eplanation multiple calls find better eplanation closing account told account closed party deposits case would closed remaining balance would mailed within business days contacted chase department updated funds told account closed funds would released verification persons party deposits third party stepped chase branch south holland illinois providing verification deposit branch manager persons stepped branch illinois providing verification branch manager contact number information provided chase contacted verify information received confirmed instructed wait additional business days money would sent home address file contacted lost prevention office told funds still suspended released would take additional  days point etremely upset contacted eecutive office reached eecutive office service line told process epedited case assigned etension speak day told would receive call update check friday never received call still phone call decided call office seeing process taken almost month speaking vaguely told money sent back irs contact thats thats numerous times attempted ask information money sent irs contact tracking number statement writing sent received anything unresponsive ended call attempt speak another representative could better eplain situation called back informed could speak anyone else regarding issue rudely told tracking check information provide contact irs say hey chase said check back help still unsatisfied called back speak helpful though issue still resolved placed hold gain better details situation returned phone calls even leaving voice messages told case still review provided solution yet dismiss claiming money sent irs actually chase still complied everything chase asked fair verifying activity account none fraudulent yet send money provide time frame matter handled told numerous stories certainty anything people say feel money stolen,Bank account or service
bank america pushes people go paperless statements read site get check images statements charge going back  months nt see check images statements want charge  per check image older  months see https faqs bank account statements online statements hide view statements check images online yes statements check images available online means view print download  months statements online time go paperless online statements service provide check images part statement charge receive statements online instead mail online banking customer go paperless,Bank account or service
work company business provides spiff bonuses sales people money network provider uses distribute bonuses year received debit cards money network activated online made deposit  cards bonus attempted access bonus funds card declined called money network told fa copy social security card drivers license passport verify account want sent request help told deal money network would help change policy send bonuses account choosing called money network fa documents later called money network told accounts still locked needed proof physical address faed copy last propane bill around called back around stated received needed fa faed called back still received second fa asked could get email address send refused asked supervisor given email address sent bill called today accounts still locked bill older days dated date last delivery unacceptable started well within days accounts days wo nt getting propane delivery fall think patient attempting access funds unquestionably mine need help convincing money network unlock cards allow access funds start charging monthly maintenance fees thank,Bank account or service
charge overdraft transactions  bank without responsible posted try speak bank resolution,Bank account or service
ref case midland funding lawsuiti believe garnishment wages money judgment midland funding junk debt buyer legal jurisdiction claim prior judgment granted midland funding judicial system state midland never supplied documented proof evidence supporting right file lawsuit requested requested information  signed copy agreement original creditor  last recorded payment date default date record original creditor  chain title ownership verifying proving owe midland funding third party debt buyer opposed original creditor giving midland funding right sue collect debt outside state determine whether statute limitations epired filed justice courts state county consolidated justice courts debt initiated prior getting married thereby acquiring new married last name rather recorded statute limitation perusing debtor defaulted credit card account  years since debt eecuted written contract state credit card law establishes legal default time period date statue limitation rights lawsuit initiated whereby jurisdiction matters statute limitations state law relates perusing debtor defaulted credit card account  years contractual obligation eecuted state therefore midland funding legally valid enforceable lawsuit granted conflict another state jurisdiction state relating statute limitations debt action clarification described revised statutes ars  subsection found whether intentional unintentional last payout default date midland funding never supplied request knowledge  years first lawsuit filed actually unenforceable fraudulent claim filed midland funding state legal system illegally avoiding negating originating contractual state statue limitation laws used setting precedence eisting lawsuit judgment claim additionally note lawsuit judgment granted initially original principal  origin escalated due owing  amount claimed garnishment also estimated interest total judgment  per annum last filing vicinity  adjustments additional outstanding judgment balance due owing  calculated derived current writ submitted,Debt collection
mobile home moved west different people lease purchase one progressively destroyed home could continue managing could afford fi voluntarily surrender mobile home back green tree around  picked trailer man called said owed dollars would like pay eplained financially way could pay lot agreed day month told would review three months talked man three months later cautioned never miss late payment late missed since time past year green tree collections become aggressive stopped answering calls called ecess times week often time per day live mt called even though told time zone last lady physically talked several months ago asked intentions told intend done four years continue make payment told well acceptable arrangement eplained accepted several years continue accept began yelling hung longer answer calls frequent feel like harassment additionally never received one thing writing nothing since repossession filed complaint credit bureau green tree showing credit shows delinquent bad standing even though paying initially agreed continue pay agreed,Debt collection
security freeze report need taken,Credit reporting
credit reporting agencies would give free credit report online said error mismatch information would submit request mail determine issue get credit report tried get reports free tried pay websites low behold able match confirm identity give reports appears deliberate way charge customers get reports providing free making labor intensive get email possible long wait time,Credit reporting
repeated phone calls least times day,Debt collection
said nt pay would sheriff house within minutes arrest,Debt collection
called key bank opening new checking account see incentives opening account told  incentive online given information account line nt enter promotional code given one bank refusing honor word one employees ca nt go back get information phone call deleted opened account bank promotion refusing honor nt information phone call made corporate office told reason filing complaints want promised us continually lie us,Bank account or service
went local chase bank used one new atm machines inside bank encouraging us use seems cutting back labor replacing actual humans machines depositing dollars machine took money provided receipt said machine malfunctioned talk bank call make claim beyond machine return money malfunctioned machine require envelope deposit slip crazy since written record deposit immediately talked teller sat call make claim money basically disappeared told would someone come within  hours recover money separated inside machine would issue deposit made  received email yesterday bank saying finsished research said recovered would taking account  research documents came number called asked told determined eplanation ecept much money recovered date anything told would go bank branch figure needless say going bank robbed supposed prove much money put deposit slip required going huge financial burden loss heading bank try rectify hopefully,Bank account or service
filed request credit report updatedand eperian refused date even summited self releasing federal ta lien summited trouble dating report,Credit reporting
charged subordination fee home refinance happen told fee could refinance citimorgages subordination denial refuse refund credit back fee also charges us fee refunded fee loan refinanced paid dollars towns refinance top fee,Mortgage
follow complain complain filed transfer loan sls still disputing amount debt try get servicer compliance california code hire attorney file bankruptcy sls send foreclosure without validating debt consider modification ask every trustee full accounting debt people hire sale property nt know true factual matteranother problem county records aloud fraud continuing happen record fraudulent documents well know notary trustees creating false document servicer sls sued attorney case # new trustee regional trustee trustees federal investigation fraud keep filing notice default without compliance california code i went public records file notice non compliance ca  record document inversionist sign contract loan lot people bougth piece paper bonds treasure department gave discharge note banks lender getting rich still sending people foreclosure,Debt collection
dispute timeshare since pulled credit concord services marked credit collections never gave written notice collections disputed contract,Debt collection
call repeatedly although told time time pay job nt able pay first place soon bought item lost job addition item stolen filed insurance claim told theft covered policy something instore representative failed mention although asked specifically theft loss etc covered wouldnt purchase item case subsequently told assuring yes,Debt collection
many accounts capital one  onlineonly bank website app access days phones answered messages website credentials login longer work per twitter seems customers access funds access checking savings,Bank account or service
note complaint also filed federal reserve form claim forwarded attached copy check  week hold arbitrarily placed claiming internal policy persists placing  week hold home equity line credit without clear cause appears etremely arbitrary contradicts regulation cc several ways refuses disclose policy home equity line credit checks claiming convenience checksnot true name address routing # account # name institution clearly check also manager claims convenience checks immediately go collections minimum timely release funds required regs according interpretation reading wells fargo policy area pretty much aligns regulations implementation depending ask within wells fargo determines many contradictory responses received customer service manager district manager waiting eecutive services take issue confused reg cc  basis determination determination subsection may based class checks persons,Bank account or service
homeowner issues reference home repairs done according homeowner bank contracted contractor paid receipts homeowner devastated please help us help homeowner retain home,Mortgage
requested details regarding charge information received people yet letters continue even though debts longer part credit history illegal collection practices play former collections manager able spot violations fdcpa sees looking collect debt removed credit bureaus purchase home back  removal due debts deemed credit bureaus old collect accounts  years old may debt buyers looking utilize illegal collection tactics new collection agency tactics try establish contact proposed debtors order reactivate debt establish collection techniques asked substantiate debt unable letters continue arrive home harassment strategy even dispute notice faed back ,Debt collection
received phone call lady ended leaving voicemail since working time voice mail identified immediately said navient first violation fair debt collection practices act nt request identify employer section item   identify state confirming correcting location information concerning consumer epressly requested identify employer goes say trying get contact cousin uncle debt mine ask pass along message either one navient trying reach harassing abusive ask family members pass along message clear violation fair debt collection act particular violation section item b communication third parties ecept provided section without prior consent consumer given directly debt collector epress permission court competent jurisdiction reasonably necessary effectuate postjudgment judicial remedy debt collector may communicate connection collection debt person consumer attorney consumer reporting agency otherwise permitted law creditor attorney creditor attorney debt collector asking pass along message communicating collection debt voicemail left conversation leads believe message left script supplied lady called employer navient navient large supplier loans one would assume full knowledge violation chose ignore fair debt collections act,Debt collection
submission complaint wells fargo agent called wrong number reach called back correct number made attempt contact closed case claiming could reach wells fargo refuses modify mortgage home originated part mortgage package fraudulently forced take mortgages wells fargo subsidiary prosperity mortgage instructed put  payment promise loans would consolidated one year refused efforts refinance last year anything make ruining credit stalling refusing refinance mortgage wells fargo ignored request lower payments two months researched case four months turning another modification due way calculated income latest communication claims forced mortgages insufficient payment mortgage provided  payment needed fact guidance wells fargo agent prosperity mortgage put  even though close  bank time  payment considered sufficient finance regular mortgages  claim insufficient payment false present modification request submitted referred processing afford pay every month missing payments stall play games like house eligible harp mortgage refinanced harp mortgage eligible wells fargo owns homeowners victims mortgage scam federal government needs require mortgages originated mortgage automatically eligible harp ii refinance regardless owns victims scam also need compensated interest paid due refusal refinance loans something needs done help us,Mortgage
constantly receiving calls td bank workfor e husbandhe never worked reason td bank,Debt collection
went free annual credit report online problem wwith online reports tried form wanted sign account needed credit card information personal info required talked argued sign free membership  month trial period refused transfer supervisor gave wrong number request mail called also refused send report required law every year someone hacked got account ordered  worth wanted know someone applied asking trans union totally refused etremely rude hung,Credit reporting
filed original complaint responded us bank response reference bankruptcy discharge reason starting foreclosure proceedings bankruptcy never filed us bank continued make payments speaking representative state nt send statements accurate speaking representative started receive statements made payments branch confused issue  years later issue brought matter requesting assistance state spoke representative true state sent loss mitigation workout sheet email also true stated sent first representative prior transferred another gentleman representative informed eligible loss mitigation process suitable reasoning given last issue states assigned relationship manager name contacted several times personal financial advisor return phone calls emails finally returned phone call friday driving pulled listened message called back within  min asked call financial advisor today still nt called nt see point contact return calls emails situation like appalling inecusable point afraid confused need assistance since us bank inconsistent responses conflicting information always fulfilled obligation feel since asked assistance us bank created reason attempt take home thank assistance matter,Mortgage
bank america changing account type originally signed resulting fees significant little notice bofa requiring balance  maintain account level came essentially free access bank free checks intend charge  month maintain account bofa also line credit linked account assess fee  per transfer previously free new fees unacceptable think fair legal force downgrade account limit access bank money analogy like buying new car power windows years ago hearing today want remove power windows benefit car charge   time want use power windows unless buy new plan  comparison banks credit unions funds charging fees access money requiring minimum balances direct deposits question legality new requirements fee structures minimum poor customer relations good business attempts resolve bofa rather time consuming somewhat fruitless,Bank account or service
collector called cell phone  times violation tcpa also failed validate debt went credit reports violation fcra fdcpa also called collected shared violation doddfrank act,Debt collection
contact current lender bank america back request loan modification due reduced income told unless late behind loan would qualify representative clearly advised stop paying mortgage want modification offer sent options offered followed instructions stopped paying mortgage got offer modify loan representative assured approved mortgage lates would deleted report however  years later still deleted lates forced inquire trying reason bank america since getting computer generated mail results attempt end resolve issue lates refinance house get better loan bank america called offering deed lieu foreclosure current loan desperately trying steal house ruining credit ignoring request please help,Mortgage
sent several letters midland credit management validate debt claim owe failed send proper documentation validate debt claim owe last letter sent returned back insufficient address notices address,Debt collection
old debt statute limitations paid full years ago company collection agency attempting collect debt epired  years statute sent cease desist letters complied please help,Debt collection
phoned quicken loan company response etensive ad campaign advertised harp refinance know wellqualified three days highly questionable sales people would talk harp refi tried hard ton pressure sell program closing costs technique bait switch object failure provide clear factual information insistence getting far much personal information pulling credit report would even discuss loans never talk harp refi said government charged high fees programs,Mortgage
dynamic recovery solutions keeps calling debt know longer owe wrote letter ask stop communications debt continue call even,Debt collection
complaint part complaint number clarify bad types plus company reporting delinquent issue citimortgage husband filed bankruptcy due several medical bills filling bankruptcy reaffirmation agreement citimortgage done sent bank husband passed away dead got small life insurance used pay bankruptcy amount paid mortgage based upon citimortgage pay letter time principal balance pay according citimortgage short amount called bank money deliver bank told bankruptcy could apply pay talked bankruptcy lawyer started talking citimortgage found bank record reaffirmation agreement date lawyer sent document pay applied even go country came back talked citimortgage still loan paid get satisfactory answer asked bankruptcy lawyer speak citimortgage attorneys lawyer call requested send letter bank copy paid done trying talk citimortgage really impossible get straight answer last thing told need pay interest  remaining balance debt rose agree since bank fault recording reaffirmation agreement finally contacted eecutive office assigned person first took time world finally contacted resolution nobody wants understand bank fault recording document emails lawyer person citimortgage person lawyer teacher school busy lot kids left alone deal bank came bankruptcy sent pay interest applied amount want carry issue otherwise interest go roof pay principal balance correspond original remaining principal balance paid paid interest justified citimortgage fault top realized citimortgage reported delinquencies mortgage ruining credit scores citi mortgage heartless unprofessional causing grieving top personal one everybody need know unprofessional company,Mortgage
follow complaint # cit responded within days contacted sent several letters spoken several times telephone bank acknowledged legal standing continue hold lien home despite promises resolve matter today three months initial contact  months first requested bank release lien  lien release recorded morning spoke epress dismay delay pointed sale transfer would recorded three five days said eplanation able contact anyone else bank might insight move process along reach resolution appreciate consumer financial protection bureau assistance say without equivocation involvement moved bank begin dialogue hope equally able help solve timely manner,Debt collection
father took reverse mortgage died  eecutri working diligently attempt complete deed lieu foreclosure process wells fargo reverse mortgage company since wells fargo unresponsive messages calls loses fa submittals sends letters threatening looking assistance dealing company,Mortgage
accounts credit file belong trans union ignoring requests investigate remove credit file,Credit reporting
wells fargo customer since never eperienced injustice banking institution called check balance shocked heard  overdraft fees none bills automatically debited account immediately make sense spoke banker informed account debited  thatts came  overdraft fee gave companies name assured never authorized payment transferred fraud dept assured money would returned including overdraft fees days later called back check case case # told another fraud dept representative case sitting listed unauthorized payment add insult injury paycheck came account direct deposit days later  overdraft fee paid hardworking money,Bank account or service
customer decade pnc last year convinced change type account promising additional fees positive changes main selling point would pay financial institutions atm service charges turns previous account nt pnc charges non pnc atms account etra fees called asked reverted previous account type told longer eisted nt option upset false information given long paying sides atm charges ok less year later removing main selling point feature paying institutions atm fees stopped branch help called service center help referenced cfpb escalated manager put hold minutes help changes deceptive marketing tactic used get product nt like anymore pull main positive features new product year,Bank account or service
reviewing credit report noticed unauthorized fraudulent inquiries initiated capitalone auto finance  authorize employee capitalone auto finance review records purpose time inquiries fraudulent constitutes gross negligence part capitalone clear violation civil rights frca privacy rights direct result continued suffer discrimination irreparable economic loss including limited denial meaningful employmenthousing obtain new credits,Credit reporting
retired assets managed account wells fargo bank years financial advisor employee wells fargo set checking account well needed cash could pull managed account deposit checking account well financial advisor moved different bank wanted stay advisor pulled managed assets wells fargo put managed account new bank working since still funds wells fargo checking account continued use account never closed received checking account statements electronically retired prefer maintain checking account balances paper failed log wells fargo website check statements days ago saw wells fargo without knowledge withdrawn  service fee checking account last months period time elapsed since funds managed account withdrawn contacted bank via telephone informed account set account therefore needed maintain  savings order free checking willing change checking account status free checking account required  balance maintained dollar amount along offered options getting  fees refunded went bank speak banker person offered options recouping loss closed checking account later day able connect financial advisor informed scenario happened several clients clients called wells fargo together wells fargo consented refund monthly fees taken checking accounts suggested call wells fargo together try recoup loss speaking several people requested supervisor told us could refund fees since checking account process closed told supervisor would willing set new checking account different provisions would allow get free checking asked could refund fees account credit card account wells fargo recently approved said time bank inform writing method would collecting  per month fee checking account also banker either phone person spoke least different bank employees ever advised prior closing checking account could submit claim get account fees refunded please note unable submit bank statements showing fees taken checking account access statements electronically since closed checking account bank taken statements evidence account website,Bank account or service
recieved collection notice legal firm along court post judgment remedies interrogatories state connecticut court date judgment amount  awarded asset acceptance llc # illegal practice # accet acceptance illegally setteled debt father without knowledge give authorizatin without verification,Debt collection
complaint addition case number received letter bank america requesting time provide answer regarding lender get letter requesting time also received letter loan modification ca nt epress enough loan modification bank america even address america wholesale lender corporation eisting law  address fact america wholesale lender corporation lender eist corporation states well america wholesale lender lender deed trust promissory note clearly dba trademark name fictitious entity problem bank america wishes believe lender behalf asset backed certificates trustee lender case especially written lender loan property bank america knows true therefore ca nt understand bank america would even assume choose want call lender deed trust promissory note  written america wholesale lender lender corporation law bank america get standing transfer assign convey fictitious entity assumed name person legal business according ta comptroller teas america wholesale lender dba even ta id occ states america wholesale lender dba banking commissioner america wholesale lender dba county clerks office assumed name certificate america wholesale lender dba must rabbit hat somewhere bank america convey property lender america wholesale lender dba name countrywide home loans dba america wholesale lender denies lender furthermore never entered contract dot promissory note calls lender time allowed denied time,Mortgage
bank placed negative complaint report suspected fraud activity nt owe bank anything fraud account,Bank account or service
victim identity theft trying dispute inaccurate items credit report,Credit reporting
dispute requested help sun trust bank well received report report beyond upset banks treat people stated previous dispute bank told week later opened account closing due information received account longer available closing account great love continue debit another account opening deposit way fact stated going close account time nt receive money charge overdraft fee nsf fees overdrew account reported contribution reasons account closed charged contributor whole part via automated process contributor recorded loss contributor able identify closing accounts due fraud yes rattled brain well done received phone occassion week sun trust bank left message stating calling due dispute report cfpb nothing else happened resolution,Bank account or service
bank cards stolen went bank told look account said everything crear withdrawal deposits made later evening bank said deposits fraudulent check day account deleted consumer,Bank account or service
see opportunity website contest specialized loan servicing response complaint case number radio button initiate response find pale pastel green links case number consumer finance protection bureauspecialized loan servicingi nt surprised sls response complaint knowledge servicing heloc falls far short fudicial responsibilities  sls lacked full knowledge requirements onset  prior rejected sls offer initiate ach  denied fredom share personal information unaffiliates  asseerted intent mail total monthlypayment noted  sls failed identify institution eecuting monthly ach dmands  sls refused escalate concerns beyond eecutive services  sls characterizes direct monthly payments unapplied funds  submitted timely payments posting check # mount  sls returned  sls checks # unauthorized  sls unnecessarily adversely impacted fico scores  sls failed correct lack oversight make us whole formally request tila audit heloc contract  sls bought loan attached documents clearly reveal timely total monthly payments accepted processed electronically sls sls asserts servicer investors sls agents epress knowledge regarding ongoing ach drafts amount  checking account access view actions cash operations division specialized loan servicing referred resolution failed discover originator ach demands neither could discern identity ach originator none financial institutions record heloc either social security numbers resolution beyond capabilities reversed ach charges question   provisional credit times  provisional credits unauthorized drafts closed checking account  eliminate unauthorized tapping funds specialized loan servicing assigns attempt process another ach draft tomorrow prior  heloc ach payees appeared statement attn beginning draft payee designated specialized loan servicing llc indicates change ownership received copy original heloc agreement indicating minimum monthly payment  resolve contention sls posted check  amount  bring loan current check returned due sls reprehensiible negligent actions fico score dropped points sls untimely actions jeaprodized stated intent refinance heloc rid influence lives consumer depend financial institutions provide timely accurate information interpretation financial commitments sls failed fudicial responsibilities prudent specialized loan servicing act fudicially ethically without delay restore credit rating reverse penalties additional interest charges levied since assumed ownership heloc,Mortgage
became behind military star card fianc got military lost job due laid notified filing taes would taking federal ta refund dollars contacting treasury office told people stop creditor reached creditor twice trying make arrangements well file hardship insisted could nt help withdraw information debt paid basically telling take money also told filing hardship would take  days requested speak supervisor placed hold different agents many times given nonworking number told call supervisor leave name number get back soon possible within  hours number given supervisor eplained hardship able pay rent utilities well children nt care said sorry debt needed collect like set payment ed remainder balance take refund pay money even pay normal bills due taking refund,Debt collection
